Number,Title,Price,Item ID,Global ID,Category,Payment Method,Country,Selling State,Start Time,End Time
7623,"MASON JARS - MINIATURES - Unfinished Wood - Various SIZES, STYLES & QUANTITIES",10.0,182915020895,EBAY-US,Wooden Pieces,PayPal,"Decatur,IL,USA",Active,2017-11-21,2017-12-21
7624,1 Ball 64oz Wide Mouth Half Gallon Mason Jar,9.75,202055856426,EBAY-US,Jars,PayPal,USA,Active,2017-09-15,2017-12-14
7625,2 Square 1/2 Pt Ball PERFECT MASON Ribbed Canning Jar # 3 & 9,3.79,142589443100,EBAY-US,Jars,PayPal,"Grove City,PA,USA",Active,2017-11-20,2017-11-30
7626,12 pc Mixed Lot Ball+Atlas Mason Canning Jars Pint Clear Glass+Wire Bales+Box,33.99,322488280854,EBAY-US,Canisters & Jars,PayPal,"Syracuse,NY,USA",Active,2017-04-19,2017-12-15
7627,NEW Kitchen Bathroom Wall Organizer  Ball Mason Jars Utensils/Toothbrush holder,59.99,253259937397,EBAY-US,Canisters & Jars,PayPal,"Conroe,TX,USA",Active,2017-11-15,2017-12-15
7628,NEW Kitchen Bathroom Wall Organizer  Ball Mason Jars Utensils/Toothbrush holder,59.99,253259937397,EBAY-US,Canisters & Jars,PayPal,"Conroe,TX,USA",Active,2017-11-15,2017-12-15
7629,NEW Kitchen Bathroom Wall Organizer  Ball Mason Jars Utensils/Toothbrush holder,59.99,253259937397,EBAY-US,Canisters & Jars,PayPal,"Conroe,TX,USA",Active,2017-11-15,2017-12-15
7630,"Reproduction Vintage Mason Jar w/ Rusty Tin Star - for flower stem, fragrant oil",3.95,232571016899,EBAY-US,Jars,PayPal,"Shakopee,MN,USA",Active,2017-11-22,2017-11-25
7631,"Kerr 0518 wide mouth mason jar pint, 16oz(case of 12), New, Free Shipping",22.79,252290574942,EBAY-US,Canisters & Jars,PayPal,USA,Active,2016-02-17,2017-12-08
7632,"Ball Mason Regular Mouth Quart Jars with Lids and Bands, Set of 12",29.62,172721561043,EBAY-US,Canisters & Jars,PayPal,USA,Active,2017-06-09,2017-12-06
